goos: darwin
goarch: arm64
pkg: github.com/muthuishere/cljgo/spikes/s11-result-rep
cpu: Apple M5 Pro
BenchmarkHashEq_A-18                  	174461722	         6.907 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_A-18                  	171806206	         6.954 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_A-18                  	171984223	         7.004 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_B-18                  	350946672	         3.392 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_B-18                  	369216614	         3.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_B-18                  	354491599	         3.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_B-18                  	356082117	         3.423 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_B-18                  	357691191	         3.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_C-18                  	179163674	         6.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_C-18                  	189213739	         6.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_C-18                  	188199769	         6.350 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_C-18                  	187602129	         6.375 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_C-18                  	190001839	         6.340 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_D-18                  	190644100	         6.312 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_D-18                  	189719919	         6.406 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_D-18                  	187049169	         6.484 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_D-18                  	181798911	         6.576 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_D-18                  	183495193	         6.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup_A-18               	24045084	        49.32 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_A-18               	24424020	        48.88 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_A-18               	24824332	        48.90 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_A-18               	24257553	        49.12 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_A-18               	24567424	        48.89 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_B-18               	 6852934	       177.5 ns/op	     656 B/op	       5 allocs/op
BenchmarkMapLookup_B-18               	 6455624	       193.0 ns/op	     656 B/op	       5 allocs/op
BenchmarkMapLookup_B-18               	 6404977	       190.8 ns/op	     656 B/op	       5 allocs/op
BenchmarkMapLookup_B-18               	 6200838	       192.6 ns/op	     656 B/op	       5 allocs/op
BenchmarkMapLookup_B-18               	 6394065	       188.6 ns/op	     656 B/op	       5 allocs/op
BenchmarkMapLookup_C-18               	31475719	        38.37 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_C-18               	31797169	        37.86 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_C-18               	31092310	        38.12 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_C-18               	30691092	        37.83 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_C-18               	30756415	        38.38 ns/op	      56 B/op	       2 allocs/op
BenchmarkMapLookup_D-18               	32921960	        36.31 ns/op	      48 B/op	       2 allocs/op
BenchmarkMapLookup_D-18               	32926665	        36.35 ns/op	      48 B/op	       2 allocs/op
BenchmarkMapLookup_D-18               	34105240	        35.11 ns/op	      48 B/op	       2 allocs/op
BenchmarkMapLookup_D-18               	33907882	        35.21 ns/op	      48 B/op	       2 allocs/op
BenchmarkMapLookup_D-18               	33070416	        34.94 ns/op	      48 B/op	       2 allocs/op
PASS
ok  	github.com/muthuishere/cljgo/spikes/s11-result-rep	185.177s
